City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,valparaiso,-33.0393,-71.6273,13.330000000000041,61,0,5.14,CL,1723129118
66,puerto ayora,-0.7393,-90.3518,19.189999999999998,95,99,1.34,EC,1723129367
67,stanley,54.868,-1.6985,17.010000000000048,89,40,4.12,GB,1723129368
68,callao,-12.0667,-77.15,16.160000000000025,77,100,1.54,PE,1723129175
69,turpan,42.9333,89.1667,31.310000000000002,29,79,2.89,CN,1723129371
70,la gi,10.6667,107.7833,27.25,89,3,3.29,VN,1723129372
71,kone,-21.0595,164.8658,16.680000000000007,91,0,2.05,NC,1723129373
72,aykhal,66.0,111.5,11.160000000000025,88,100,3.68,RU,1723129374
73,talnakh,69.4865,88.3972,14.230000000000018,52,8,6.69,RU,1723129375
74,hays,30.0502,-98.0336,31.640000000000043,60,0,2.61,US,1723129376
75,flying fish cove,-10.4217,105.6791,24.82000000000005,88,100,7.72,CX,1723129377
76,la sarre,48.8002,-79.1996,18.310000000000002,57,100,3.78,CA,1723129378
77,huarmey,-10.0681,-78.1522,18.49000000000001,75,87,3.33,PE,1723129380
78,kapuskasing,49.4169,-82.4331,17.05000000000001,94,100,2.57,CA,1723129333
79,mushie,-3.0167,16.9,38.89000000000004,19,9,1.63,CD,1723129383
80,chifeng,42.2683,118.9636,23.680000000000007,71,83,1.7,CN,1723129384
81,khanty-mansiysk,61.0042,69.0019,14.060000000000002,58,20,3.0,RU,1723129385
82,shantobe,52.4581,68.1839,16.930000000000007,94,100,6.1,KZ,1723129386
83,hermanus,-34.4187,19.2345,15.360000000000014,74,32,9.54,ZA,1723129387
84,lompoc,34.6391,-120.4579,12.939999999999998,100,100,0.0,US,1723129261
85,sisimiut,66.9395,-53.6735,6.560000000000002,78,11,4.14,GL,1723129389
86,kingston,17.997,-76.7936,31.53000000000003,70,20,6.69,JM,1723129334
87,namibe,-15.1961,12.1522,18.80000000000001,72,11,7.09,AO,1723129392
88,salacgriva,57.7536,24.3581,21.640000000000043,59,70,1.69,LV,1723129393
89,hawaiian paradise park,19.5933,-154.9731,21.730000000000018,94,100,5.66,US,1723129394
90,codrington,-38.2667,141.9667,11.710000000000036,80,79,4.45,AU,1723129395
91,kualakapuas,-3.0091,114.3876,23.49000000000001,97,100,1.49,ID,1723129396
92,albany,42.6001,-73.9662,20.810000000000002,63,92,1.79,US,1723129354
93,rosetta,31.4044,30.4164,29.430000000000007,61,0,5.68,EG,1723129398
94,mount pearl,47.5166,-52.7813,21.360000000000014,64,20,10.29,CA,1723129399
95,petropavlovsk-kamchatsky,53.0452,158.6483,16.33000000000004,67,75,2.0,RU,1723129400
96,kamenka,51.3223,42.7678,22.32000000000005,57,51,1.13,RU,1723129401
